City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
342,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
348,Romitan,UZ,78.75,clear sky,39.9343,64.3814,Hotel Temur
350,Mogadishu,SO,78.53,overcast clouds,2.0371,45.3438,Hotel Juba
352,Colares,PT,86.32,scattered clouds,38.7992,-9.4469,Arribas Sintra Hotel
354,Muli,MV,82.56,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
355,San Patricio,US,89.55,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
359,Sedhiou,SN,82.0,moderate rain,12.7081,-15.5569,Auberge Cheznous
362,Tefe,BR,89.71,few clouds,-3.3542,-64.7114,Aracati Hotel
364,Axim,GH,78.76,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
366,Gushikawa,JP,80.19,broken clouds,26.3544,127.8686,Kirari Guest House
368,Tabou,CI,79.14,light rain,4.423,-7.3528,hotêl doufoulougou
369,Itarema,BR,89.04,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
371,Gizo,SB,81.07,light rain,-8.103,156.8419,Imagination Island
376,Choma,ZM,89.71,scattered clouds,-16.8065,26.9531,Kamuboola Lodge
377,Solwezi,ZM,81.1,overcast clouds,-12.1688,26.3894,Country Lodge Solwezi
379,Ewa Beach,US,78.75,clear sky,21.3156,-158.0072,Base Lodging
380,Mitsamiouli,KM,77.29,broken clouds,-11.3847,43.2844,Foyer ADM
381,Kulu,TR,78.71,few clouds,39.0951,33.0799,Kapadokya Motel
385,Novo Lino,BR,82.78,overcast clouds,-8.915,-35.6467,Pousada João Miguel - Novo Lino - Alagoas
386,Boa Vista,BR,84.18,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
387,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
389,Safford,US,78.12,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
390,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
391,Andros Town,BS,87.76,broken clouds,24.7,-77.7667,Hanks place
394,Carutapera,BR,87.89,overcast clouds,-1.195,-46.02,Lidera
396,Porto Torres,IT,78.98,overcast clouds,40.835,8.3972,Hotel Elisa
398,Muroto,JP,79.79,overcast clouds,33.2833,134.15,Oota Ryokan
399,Iquitos,PE,89.64,clear sky,-3.7481,-73.2472,Cortez Malaga Techy Caroly
402,Jega,NG,85.84,light rain,12.2175,4.3792,ALH. Nasiru Ibrahim
403,La Romana,DO,79.16,heavy thunderstorm,18.4273,-68.9728,Casa de Campo Resort and Villas
406,Xiongzhou,CN,78.58,scattered clouds,25.1167,114.3,Xinhewan Business Hotel
408,Qrendi,MT,83.86,clear sky,35.8347,14.4583,M'Anglu
409,Nishihara,JP,80.26,overcast clouds,26.1842,127.7558,Minshuku Agaihama
410,Dingle,PH,77.04,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
411,Paka,MY,76.93,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
412,Kattivakkam,IN,86.09,overcast clouds,13.2167,80.3167,Euronova Freezer
413,Liwale,TZ,82.4,broken clouds,-9.7667,37.9333,Tumaini Tulivu Lodge
415,Bata,GQ,76.05,light rain,1.8639,9.7658,Hotel Elik Melen
416,Acapulco,MX,80.42,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
417,Ouidah,BJ,78.66,moderate rain,6.3631,2.0851,Le Jardin Secret Ouidah
418,Weligama,LK,79.34,overcast clouds,5.9667,80.4167,Weligama Bay Resort
421,Sakti,IN,79.79,overcast clouds,22.0333,82.9667,C.B. Sweet Home
427,Grandview,US,87.46,clear sky,38.8858,-94.533,Holiday Inn Express & Suites Kansas City-Grandview
429,Martapura,ID,75.29,few clouds,-3.4167,114.85,Montana Hotel Syariah
430,Freeport,US,85.3,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
431,Hambantota,LK,80.74,overcast clouds,6.1241,81.1185,Bungalow 63
432,Dicabisagan,PH,76.05,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
435,Itoman,JP,80.98,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
437,Mailsi,PK,86.86,clear sky,29.8003,72.1758,Mian Lodge
438,Grenville,GD,86.05,light rain,12.1167,-61.6167,Valley Breeze Guest House
443,Nieves,PH,78.31,overcast clouds,15.3274,120.9485,Bill's Inn
445,Sirmaur,IN,82.76,broken clouds,24.85,81.3833,Sirmour ward no.2 hanuman mandir
448,Hirara,JP,79.29,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
451,Manadhoo,MV,81.95,overcast clouds,5.7667,73.3833,Bon Abri maldives
454,Male,MV,84.15,broken clouds,4.1748,73.5089,Hotel Octave Maldives
456,Samandag,TR,82.92,clear sky,36.0842,35.9771,Anadolu Palace Hotel
458,Beloha,MG,80.22,clear sky,-25.1667,45.05,Dibbo areaمنطقة دبو
459,Owando,CG,77.54,moderate rain,-0.4819,15.8999,Exaunel Hotel Owando
460,Kokopo,PG,76.06,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
464,Remanso,BR,87.4,scattered clouds,-9.6179,-42.0831,Hotel Mangueira
467,Tual,ID,81.7,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
468,Tura,IN,75.02,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
469,Syracuse,IT,89.19,scattered clouds,37.0881,15.2792,Hotel Posta
470,Neftegorsk,RU,76.91,broken clouds,52.802,51.166,Relaks
473,Sanming,CN,79.11,broken clouds,26.2486,117.6186,Sanming Huangting Lijing Hotel
475,Nhulunbuy,AU,77.61,clear sky,-12.2333,136.7667,East Arnhem Real Estate
477,Amantea,IT,80.46,overcast clouds,39.1332,16.0746,Mediterraneo Palace Hotel
478,Upata,VE,87.19,few clouds,8.0086,-62.3989,Posada Villa Nela
484,Waingapu,ID,77.95,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
486,Cabedelo,BR,86.67,scattered clouds,-6.9811,-34.8339,Pousada Camboinha
487,Tahoua,NE,80.58,thunderstorm with light rain,14.8888,5.2692,Bungalows Guesthouse
489,Aquiraz,BR,86.09,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
490,Aracuai,BR,87.51,scattered clouds,-16.8497,-42.0703,Village das Minas Hotel
494,Semporna,MY,80.37,scattered clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
496,Odienne,CI,79.34,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
500,Bocas Del Toro,PA,81.9,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
502,Kavaratti,IN,81.28,overcast clouds,10.5669,72.642,Green leaf
504,Hathras,IN,86.54,overcast clouds,27.6,78.05,Shilpa Guest House Hathras
506,Iralaya,HN,84.02,overcast clouds,15.0,-83.2333,Iglesia morava renovada
507,Barcelona,ES,85.71,few clouds,41.3888,2.159,Axel Hotel Barcelona
508,Kumluca,TR,77.74,clear sky,36.3703,30.2869,Akkol Apart
509,Vila Franca Do Campo,PT,79.21,few clouds,37.7167,-25.4333,Pestana Bahia Praia
516,Mocuba,MZ,87.19,clear sky,-16.8392,36.9856,Phama Lodge
518,Gamba,GA,77.52,overcast clouds,-2.65,10.0,Dibbo areaمنطقة دبو
520,Bandarbeyla,SO,77.86,scattered clouds,9.4942,50.8122,JABIR HOTEL
526,Tikaitnagar,IN,81.73,scattered clouds,26.95,81.5833,gaurav ka ghar
527,Tagusao,PH,81.14,overcast clouds,9.1924,117.8141,Caycay future beach resort
529,Mabaruma,GY,87.8,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
531,Alugan,PH,78.35,overcast clouds,12.2188,125.4808,JM Lodge
533,Shahpura,IN,84.22,broken clouds,27.3833,75.9667,Shahpura Haveli
534,Labuan,MY,75.56,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
537,Kavieng,PG,80.55,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
538,Jasper,US,87.01,clear sky,37.2001,-94.3502,Guest House Motel
541,Meulaboh,ID,77.47,overcast clouds,4.1363,96.1285,Kost Pria
543,Katherine,AU,84.52,light rain,-14.4667,132.2667,Pine Tree Motel
544,Vanimo,PG,78.37,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
545,Develi,TR,79.95,scattered clouds,38.3906,35.4922,DEVELİ TEACHER AND ASO
547,Daru,PG,79.74,overcast clouds,-9.0763,143.2092,Daru Lodge
549,Tautira,PF,77.04,light rain,-17.7333,-149.15,Pension Oaoa
551,Minab,IR,87.44,clear sky,27.1467,57.0801,Bam campground
556,Nioro,GM,84.83,moderate rain,13.35,-15.75,Dibbo areaمنطقة دبو
560,Taganak,PH,82.54,broken clouds,6.0833,118.3,Taganak
561,Kununurra,AU,76.98,clear sky,-15.7667,128.7333,Hotel Kununurra
562,Buta,CD,85.75,overcast clouds,2.7858,24.73,Hôtel BOPANDO
563,Azad Shahr,IR,79.29,broken clouds,34.7909,48.5707,Hotel Amozesh Gah Ranandegi
565,Monywa,MM,80.42,scattered clouds,22.1167,95.1333,Monywa Hotel
569,Thanh Hoa,VN,78.69,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
573,Horta,PT,80.24,scattered clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
574,Fare,PF,78.33,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
578,Alta Floresta,BR,85.82,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
581,Dagohoy,PH,77.25,overcast clouds,9.8927,124.2727,Paraiso Kubo Inn
582,Paralimni,CY,88.29,clear sky,35.0375,33.9833,Amore Hotel Apartments
583,Jiazi,CN,80.87,broken clouds,22.8779,116.067,Hotel Jin Hao
586,Komsomolskiy,UZ,77.72,clear sky,40.4272,71.7189,Ikathouse
587,Bhuban,IN,78.35,overcast clouds,20.8833,85.8333,Prasanta Sahoo
592,Antsohihy,MG,75.83,clear sky,-14.8796,47.9875,Hotel de Ville
597,Dwarka,IN,82.27,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
599,Katiola,CI,79.43,moderate rain,8.1333,-5.1,Auberge Residence Yebin
