City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Coquimbo,CL,-29.9533,-71.3436,56.93,76,0,13.8,clear sky
199,East London,ZA,-33.0153,27.9116,58.14,88,20,10.36,few clouds
200,Shache,CN,38.4167,77.2406,79.72,33,6,2.08,clear sky
201,Maningrida,AU,-12.0667,134.2667,78.67,84,12,8.52,few clouds
202,Choctaw,US,35.4976,-97.2689,86.41,60,20,16.11,few clouds
203,Shitanjing,CN,39.2342,106.3439,50.88,81,6,4.29,clear sky
204,Lufilufi,WS,-13.8745,-171.5986,73.18,80,28,21.83,light rain
205,Laguna,US,38.421,-121.4238,65.05,93,100,5.75,overcast clouds
206,Zhezkazgan,KZ,47.8043,67.7144,60.78,20,0,13.42,clear sky
207,Kingsland,US,30.8,-81.6898,80.98,94,59,6.55,broken clouds
208,Superior,US,46.7208,-92.1041,71.33,83,0,10.36,clear sky
209,Plettenberg Bay,ZA,-34.0527,23.3716,58.6,63,47,11.18,scattered clouds
210,Saldanha,ZA,-33.0117,17.9442,62.65,74,1,15.77,clear sky
211,Ternate,ID,0.8,127.4,81.55,75,85,1.3,overcast clouds
212,Mumford,GH,5.2618,-0.759,75.02,91,100,12.19,light rain
213,San Andres,CO,12.5847,-81.7006,84.22,74,20,4.61,few clouds
214,Santiago,CL,-33.4569,-70.6483,59.54,60,75,9.22,broken clouds
215,Surt,LY,31.2089,16.5887,85.78,56,0,13.49,clear sky
216,Mattru,SL,7.6244,-11.8332,79.2,85,80,5.68,moderate rain
217,Shieli,KZ,44.1667,66.75,74.66,19,0,11.97,clear sky
218,Sakaiminato,JP,35.55,133.2333,71.58,73,75,23.02,light intensity shower rain
219,Portland,US,45.5234,-122.6762,61.41,84,0,3.0,clear sky
220,Iracoubo,GF,5.4802,-53.2011,87.04,63,33,8.08,scattered clouds
221,Angoche,MZ,-16.2325,39.9086,77.36,76,3,18.61,clear sky
222,Pizhanka,RU,57.4604,48.542,66.67,82,98,23.49,overcast clouds
223,Vicente Guerrero,MX,19.1194,-98.1708,61.99,72,57,4.32,broken clouds
224,Bayan,CN,46.0833,127.4,37.85,34,0,9.75,clear sky
225,Port Shepstone,ZA,-30.7414,30.455,61.74,92,100,19.75,moderate rain
226,Kayseri,TR,38.737,35.4968,82.42,26,20,4.61,few clouds
227,Wilson,US,36.1501,-86.2833,83.79,69,0,8.05,clear sky
228,Marinette,US,45.1,-87.6307,69.85,77,0,6.93,clear sky
229,Kalianget,ID,-7.05,113.9333,81.55,75,73,8.3,broken clouds
230,Okhotsk,RU,59.3833,143.3,42.06,83,100,27.07,light rain
231,Hobyo,SO,5.3505,48.5268,78.22,83,59,24.05,broken clouds
232,Nanortalik,GL,60.1432,-45.2371,42.73,99,100,6.15,moderate rain
233,Sorong,ID,-0.8833,131.25,78.98,83,33,5.44,scattered clouds
